Zustand Uhrzeit: 10:00:00: STR 30 | EIN 0 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:14: STR 6 | EIN 0 | BAU 1 | PAR 12 [STA 7] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:26: STR 5 | EIN 1 | BAU 1 | PAR 12 [STA 7] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:34: STR 5 | EIN 1 | BAU 0 | PAR 13 [STA 6] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:35: STR 5 | EIN 0 | BAU 1 | PAR 13 [STA 6] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:51: STR 4 | EIN 1 | BAU 1 | PAR 13 [STA 6] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:55: STR 4 | EIN 1 | BAU 0 | PAR 14 [STA 5] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:56: STR 4 | EIN 0 | BAU 1 | PAR 14 [STA 5] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:46:12: STR 3 | EIN 1 | BAU 1 | PAR 14 [STA 5] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:46:16: STR 3 | EIN 1 | BAU 0 | PAR 15 [STA 4] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:46:22: STR 3 | EIN 1 | BAU 0 | PAR 15 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:49:53: STR 3 | EIN 1 | BAU 0 | PAR 14 [STA 4] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:32:00: STR 3 | EIN 1 | BAU 1 | PAR 13 [STA 4] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:32:01: STR 3 | EIN 1 | BAU 2 | PAR 13 [STA 4] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:32:02: STR 3 | EIN 1 | BAU 3 | PAR 13 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:32:20: STR 3 | EIN 1 | BAU 2 | PAR 13 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:32:21: STR 3 | EIN 1 | BAU 1 | PAR 13 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:32:22: STR 3 | EIN 1 | BAU 0 | PAR 13 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:49:57: STR 2 | EIN 2 | BAU 0 | PAR 13 [STA 4] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:50:07: STR 2 | EIN 2 | BAU 0 | PAR 13 [STA 4] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:50:08: STR 2 | EIN 1 | BAU 1 | PAR 13 [STA 4] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:50:09: STR 2 | EIN 0 | BAU 2 | PAR 13 [STA 4] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:50:28: STR 2 | EIN 0 | BAU 1 | PAR 14 [STA 3] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:50:29: STR 2 | EIN 0 | BAU 0 | PAR 15 [STA 2] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:52:22: STR 1 | EIN 1 | BAU 0 | PAR 15 [STA 2] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:54:50: STR 1 | EIN 1 | BAU 0 | PAR 14 [STA 2] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:54:10: STR 1 | EIN 1 | BAU 1 | PAR 13 [STA 2] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:36:31: STR 1 | EIN 1 | BAU 2 | PAR 12 [STA 2] | AUS 3 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:36:32: STR 1 | EIN 1 | BAU 3 | PAR 12 [STA 2] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:36:33: STR 1 | EIN 1 | BAU 4 | PAR 12 [STA 2] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:36:34: STR 1 | EIN 1 | BAU 5 | PAR 12 [STA 2] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:54:30: STR 1 | EIN 1 | BAU 4 | PAR 12 [STA 2] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:36:51: STR 1 | EIN 1 | BAU 3 | PAR 12 [STA 2] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:36:52: STR 1 | EIN 1 | BAU 2 | PAR 12 [STA 2] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:36:53: STR 1 | EIN 1 | BAU 1 | PAR 12 [STA 2] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:36:54: STR 1 | EIN 1 | BAU 0 | PAR 12 [STA 2] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:58:05: STR 0 | EIN 2 | BAU 0 | PAR 12 [STA 2] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:58:15: STR 0 | EIN 2 | BAU 0 | PAR 12 [STA 2] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:58:16: STR 0 | EIN 1 | BAU 1 | PAR 12 [STA 2] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:58:17: STR 0 | EIN 0 | BAU 2 | PAR 12 [STA 2] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:58:36: STR 0 | EIN 0 | BAU 1 | PAR 13 [STA 1] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:58:37: STR 0 | EIN 0 | BAU 0 | PAR 14 [STA 0] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:59:42: STR 0 | EIN 0 | BAU 0 | PAR 13 [STA 0] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:01:51: STR 0 | EIN 0 | BAU 0 | PAR 12 [STA 0] | AUS 2 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:02:01: STR 0 | EIN 0 | BAU 0 | PAR 12 [STA 0] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:02:02: STR 0 | EIN 0 | BAU 1 | PAR 12 [STA 0] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:02:03: STR 0 | EIN 0 | BAU 2 | PAR 12 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:02:22: STR 0 | EIN 0 | BAU 1 | PAR 12 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:02:23: STR 0 | EIN 0 | BAU 0 | PAR 12 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:04:23: STR 0 | EIN 0 | BAU 0 | PAR 11 [STA 0] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:48:52: STR 0 | EIN 0 | BAU 1 | PAR 10 [STA 0] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:48:53: STR 0 | EIN 0 | BAU 2 | PAR 10 [STA 0] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:48:54: STR 0 | EIN 0 | BAU 3 | PAR 10 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:49:12: STR 0 | EIN 0 | BAU 2 | PAR 10 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:49:13: STR 0 | EIN 0 | BAU 1 | PAR 10 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:49:14: STR 0 | EIN 0 | BAU 0 | PAR 10 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:52:29: STR 0 | EIN 0 | BAU 0 | PAR 9 [STA 0] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:52:30: STR 0 | EIN 0 | BAU 1 | PAR 9 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:52:50: STR 0 | EIN 0 | BAU 0 | PAR 9 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:55:24: STR 0 | EIN 0 | BAU 0 | PAR 8 [STA 0] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:55:25: STR 0 | EIN 0 | BAU 1 | PAR 8 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:55:45: STR 0 | EIN 0 | BAU 0 | PAR 8 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:56:57: STR 0 | EIN 0 | BAU 0 | PAR 7 [STA 0] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:56:58: STR 0 | EIN 0 | BAU 1 | PAR 7 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:57:18: STR 0 | EIN 0 | BAU 0 | PAR 7 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:08:44: STR 0 | EIN 0 | BAU 0 | PAR 6 [STA 0] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:08:45: STR 0 | EIN 0 | BAU 1 | PAR 6 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:09:05: STR 0 | EIN 0 | BAU 0 | PAR 6 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:10:19: STR 0 | EIN 0 | BAU 0 | PAR 5 [STA 0] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:10:20: STR 0 | EIN 0 | BAU 1 | PAR 5 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:10:40: STR 0 | EIN 0 | BAU 0 | PAR 5 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:14:25: STR 0 | EIN 0 | BAU 0 | PAR 4 [STA 0] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:14:26: STR 0 | EIN 0 | BAU 1 | PAR 4 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:14:46: STR 0 | EIN 0 | BAU 0 | PAR 4 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:14:47: STR 0 | EIN 0 | BAU 0 | PAR 3 [STA 0] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:14:48: STR 0 | EIN 0 | BAU 1 | PAR 3 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:14:49: STR 0 | EIN 0 | BAU 1 | PAR 2 [STA 0] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:09:18: STR 0 | EIN 0 | BAU 2 | PAR 1 [STA 0] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:03:10: STR 0 | EIN 0 | BAU 3 | PAR 0 [STA 0] | AUS 3 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:03:11: STR 0 | EIN 0 | BAU 4 | PAR 0 [STA 0] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:03:12: STR 0 | EIN 0 | BAU 5 | PAR 0 [STA 0] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:03:13: STR 0 | EIN 0 | BAU 6 | PAR 0 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:15:08: STR 0 | EIN 0 | BAU 5 | PAR 0 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:09:38: STR 0 | EIN 0 | BAU 4 | PAR 0 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:03:30: STR 0 | EIN 0 | BAU 3 | PAR 0 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:03:31: STR 0 | EIN 0 | BAU 2 | PAR 0 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:03:32: STR 0 | EIN 0 | BAU 1 | PAR 0 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:03:33: STR 0 | EIN 0 | BAU 0 | PAR 0 [STA 0] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:00:00: STR 30 | EIN 0 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:00:34: STR 29 | EIN 1 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:00:35: STR 29 | EIN 0 | BAU 1 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:00:56: STR 28 | EIN 1 | BAU 1 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:02:29: STR 27 | EIN 2 | BAU 1 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:03:50: STR 26 | EIN 3 | BAU 1 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:03:55: STR 26 | EIN 3 | BAU 0 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:03:56: STR 26 | EIN 2 | BAU 1 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:03:57: STR 26 | EIN 1 | BAU 2 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:03:58: STR 26 | EIN 0 | BAU 3 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:05:41: STR 25 | EIN 1 | BAU 3 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:06:01: STR 24 | EIN 2 | BAU 3 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:07:08: STR 23 | EIN 3 | BAU 3 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:07:16: STR 23 | EIN 3 | BAU 2 | PAR 2 [STA 28] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:07:17: STR 23 | EIN 3 | BAU 1 | PAR 3 [STA 27] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:07:18: STR 23 | EIN 3 | BAU 0 | PAR 4 [STA 26] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:07:19: STR 23 | EIN 2 | BAU 1 | PAR 4 [STA 26] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:07:20: STR 23 | EIN 1 | BAU 2 | PAR 4 [STA 26] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:07:21: STR 23 | EIN 0 | BAU 3 | PAR 4 [STA 26] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:10:39: STR 23 | EIN 0 | BAU 2 | PAR 5 [STA 25] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:10:40: STR 23 | EIN 0 | BAU 1 | PAR 6 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:10:41: STR 23 | EIN 0 | BAU 0 | PAR 7 [STA 23] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:16:05: STR 22 | EIN 1 | BAU 0 | PAR 7 [STA 23] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:16:06: STR 22 | EIN 0 | BAU 1 | PAR 7 [STA 23] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:19:26: STR 22 | EIN 0 | BAU 0 | PAR 8 [STA 22] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:20:33: STR 21 | EIN 1 | BAU 0 | PAR 8 [STA 22] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:20:34: STR 21 | EIN 0 | BAU 1 | PAR 8 [STA 22] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:23:45: STR 20 | EIN 1 | BAU 1 | PAR 8 [STA 22] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:23:54: STR 20 | EIN 1 | BAU 0 | PAR 9 [STA 21] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:23:55: STR 20 | EIN 0 | BAU 1 | PAR 9 [STA 21] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:25:27: STR 19 | EIN 1 | BAU 1 | PAR 9 [STA 21] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:26:04: STR 18 | EIN 2 | BAU 1 | PAR 9 [STA 21] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:26:31: STR 17 | EIN 3 | BAU 1 | PAR 9 [STA 21] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:27:15: STR 17 | EIN 3 | BAU 0 | PAR 10 [STA 20] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:27:16: STR 17 | EIN 2 | BAU 1 | PAR 10 [STA 20] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:27:17: STR 17 | EIN 1 | BAU 2 | PAR 10 [STA 20] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:27:18: STR 17 | EIN 0 | BAU 3 | PAR 10 [STA 20] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:28:08: STR 17 | EIN 0 | BAU 3 | PAR 9 [STA 20] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:27:33: STR 17 | EIN 0 | BAU 3 | PAR 8 [STA 20] | AUS 2 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:12:10: STR 17 | EIN 0 | BAU 3 | PAR 7 [STA 20] | AUS 3 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:21:46: STR 17 | EIN 0 | BAU 3 | PAR 6 [STA 20] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:28:51: STR 16 | EIN 1 | BAU 3 | PAR 6 [STA 20] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:30:36: STR 16 | EIN 1 | BAU 2 | PAR 7 [STA 19] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:30:37: STR 16 | EIN 1 | BAU 1 | PAR 8 [STA 18] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:30:38: STR 16 | EIN 1 | BAU 0 | PAR 9 [STA 17] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:27:43: STR 16 | EIN 1 | BAU 0 | PAR 9 [STA 17] | AUS 4 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:27:44: STR 16 | EIN 1 | BAU 1 | PAR 9 [STA 17] | AUS 3 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:27:45: STR 16 | EIN 1 | BAU 2 | PAR 9 [STA 17] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:27:46: STR 16 | EIN 1 | BAU 3 | PAR 9 [STA 17] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:27:47: STR 16 | EIN 1 | BAU 4 | PAR 9 [STA 17] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:31:04: STR 16 | EIN 1 | BAU 3 | PAR 9 [STA 17] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:31:05: STR 16 | EIN 1 | BAU 2 | PAR 9 [STA 17] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:31:06: STR 16 | EIN 1 | BAU 1 | PAR 9 [STA 17] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:31:07: STR 16 | EIN 1 | BAU 0 | PAR 9 [STA 17] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:31:14: STR 16 | EIN 1 | BAU 0 | PAR 9 [STA 17] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:31:15: STR 16 | EIN 0 | BAU 1 | PAR 9 [STA 17] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:34:35: STR 16 | EIN 0 | BAU 0 | PAR 10 [STA 16] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:35:34: STR 15 | EIN 1 | BAU 0 | PAR 10 [STA 16] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:35:35: STR 15 | EIN 0 | BAU 1 | PAR 10 [STA 16] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:38:18: STR 14 | EIN 1 | BAU 1 | PAR 10 [STA 16] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:38:22: STR 14 | EIN 1 | BAU 1 | PAR 9 [STA 16] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:16:41: STR 14 | EIN 1 | BAU 1 | PAR 8 [STA 16] | AUS 2 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:16:42: STR 14 | EIN 0 | BAU 2 | PAR 8 [STA 16] | AUS 2 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:20:50: STR 14 | EIN 0 | BAU 2 | PAR 7 [STA 16] | AUS 3 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:38:55: STR 14 | EIN 0 | BAU 1 | PAR 8 [STA 15] | AUS 3 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:20:02: STR 14 | EIN 0 | BAU 0 | PAR 9 [STA 14] | AUS 3 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:39:05: STR 14 | EIN 0 | BAU 0 | PAR 9 [STA 14] | AUS 3 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
